State_Name,State_District_Name,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Total,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Rural,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Urban,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Urban,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Total,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Rural,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Urban,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Urban,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Urban,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Urban,TT_Children_Whose_Birth_Weight_Was_Taken_Total,TT_Children_Whose_Birth_Weight_Was_Taken_Rural,TT_Children_Whose_Birth_Weight_Was_Taken_Urban,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Total,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Rural,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Urban
Rajasthan,Sikar,95.4,95.6,95,94.9,95.6,92.9,90,91.5,85.3,89.9,90.6,87.4,92.6,93.1,91.2,85.5,86.8,81.1,85.5,86.2,83.2,4.8,4.1,7.1,67.2,66.7,68.9,6.3,5.9,7.6,81.7,78.8,90.6,24.1,24.3,23.4
Rajasthan,Sirohi,67,65.7,77.6,86.7,85.7,94.7,69,67.8,78.4,70.2,68.6,83.6,73.8,72.7,82.8,66,64.9,75.4,79.8,78.2,92.5,7,7.5,3,62.1,61.4,68.7,9.4,9.6,8.9,64.4,61.9,84.5,32.6,34,25.8
Rajasthan,Tonk,82.2,82.1,82.5,95.3,94.6,97.9,63.7,58.6,80.4,60.4,56.2,74.3,75.5,73.6,81.9,53.7,48.7,69.9,87.6,85.6,94,3,3.5,1.6,61.9,62.9,58.6,15.9,14.7,20,65.6,61.2,79.3,44.7,46.9,39.4
Rajasthan,Udaipur,63.8,59.5,82.9,90.2,88.4,98.5,87.3,85.9,93.2,85.1,83,94.4,85,82.4,96.4,81.9,79.8,91.2,76.2,72.4,93.2,4.9,5.9,0.4,84.6,83.2,90.4,17.7,17.4,18.7,58.2,52.1,86.8,46.6,48.2,42.3
Uttar Pradesh,Agra,56.67,51.37,61.98,90.73,89.87,91.6,53.53,51.43,55.65,52.16,50.74,53.58,64.51,62.72,66.3,44.28,42.7,45.87,76.22,74.99,77.46,3.76,3.99,3.54,38.42,35.57,41.28,10.32,9.91,10.74,41.51,35.03,48.5,29.29,28.25,30.08
Uttar Pradesh,Aligarh,54.82,51.95,62.58,92.99,92.43,94.5,64.2,61.36,71.88,63.72,61.25,70.4,67.55,65.64,72.73,53.63,51.19,60.25,70.68,68.28,77.17,1.55,1.73,1.06,41.8,38.64,50.32,10.29,10.66,9.3,34.71,31.34,43.44,37.39,34.52,42.19
Uttar Pradesh,Allahabad,63.67,63.38,65.46,77.08,77.3,75.77,62,61.39,65.74,60.93,60.47,63.79,61.61,60.89,66.02,54.88,54.29,58.5,74.49,74.79,72.7,10.63,10.23,13.09,41.53,40.9,45.4,21.46,20.82,25.35,31.57,28.32,51.88,23.47,23.65,22.86
Uttar Pradesh,Ambedkar Nagar,73.88,73.71,NA,82.32,82.2,NA,71.92,72,NA,69.94,70.03,NA,67.98,67.85,NA,63.67,63.48,NA,76.1,76.47,NA,11.86,12.2,NA,55.16,55.92,NA,26.93,26.92,NA,27.82,27.37,NA,20.44,19.29,NA
Uttar Pradesh,Auraiya,80.32,80.42,79.69,84.91,85.66,80.36,60.19,61.02,55.13,59.52,60.28,54.91,60.19,60.7,57.14,46.25,46.92,42.19,65.89,67.05,58.93,11.41,11,13.84,34.16,35.49,26.12,18.22,18.36,17.41,23.76,22.3,31.69,15.64,16.63,11.7
Uttar Pradesh,Azamgarh,74.22,74.17,74.83,84.07,84.07,84.01,68.66,68.44,71.43,67.19,67.15,67.69,62.56,62.56,62.59,56.68,56.53,58.5,70.27,69.8,76.19,8.34,8.35,8.16,39.39,39.75,35.03,26.62,26.74,25.17,33.88,32.25,54.6,11.89,12.29,9.09
Uttar Pradesh,Baghpat,83.3,84.73,78.22,95.4,96.15,92.74,82.13,83.28,78.04,81.99,83.47,76.77,83.01,84.36,78.22,75.02,76.36,70.24,77.06,77.44,75.68,2.58,2.13,4.17,58.08,59.11,54.45,16.88,17.04,16.33,49.02,48.95,49.28,31.59,32.65,27.73
Uttar Pradesh,Bahraich,52.23,50.64,84.62,83.25,83.08,86.71,36.91,36.23,50.7,43.59,42.45,66.78,47.08,46.18,65.38,27.47,26.86,39.86,68.27,67.88,76.22,8.19,8.42,3.5,21.52,21.02,31.82,12.01,12.2,8.04,16.48,16.15,24.7,19.54,20.71,1.69
Uttar Pradesh,Ballia,81.14,80.76,85.22,89.08,89.21,87.68,79.55,79.48,80.3,76.52,76.77,73.89,78.67,79.21,72.91,71.03,71.54,65.52,80.48,80.78,77.34,5.09,4.97,6.4,21.84,21.25,28.08,23.05,22.86,25.12,26.2,24.69,43.11,21.56,20.17,30.12
Uttar Pradesh,Balrampur,45.13,44.33,NA,62.39,61.95,NA,45.32,44.52,NA,44.07,43.29,NA,42.92,42.16,NA,36.4,35.5,NA,46.34,45.68,NA,27.46,27.91,NA,16.88,16.07,NA,25.54,25.67,NA,10.13,9.46,NA,13.01,14.39,NA
Uttar Pradesh,Banda,92.12,91.27,97.06,95.08,94.23,100,60.36,56.75,81.37,55.77,53.05,71.57,76.82,75.03,87.25,43.58,40.28,62.75,87.81,87.23,91.18,3.19,3.74,0,39.78,38.03,50,27.97,25.87,40.2,52.01,49.57,66.28,26.24,27.12,20.83
Uttar Pradesh,Barabanki,92.6,92.55,93.33,92.55,92.44,93.94,53.71,52.25,72.12,68.3,67.85,73.94,74.51,74.12,79.39,43.91,42.2,65.45,80.43,80.08,84.85,7.11,7.25,5.45,46.58,44.85,68.48,17.53,17.29,20.61,32.38,30.71,55.5,26.5,24.74,42.47
Uttar Pradesh,Bareilly,56.86,53.44,64.92,84.28,82.96,87.38,54.47,52.51,59.08,53.82,51.51,59.28,54.05,52.78,57.03,41.38,39.1,46.77,55.67,52.53,63.08,4.32,4.46,4,33.76,32.28,37.23,12.27,11.38,14.36,23.72,20.03,32.64,31.66,33.68,28.62
Uttar Pradesh,Basti,80.48,80.03,NA,86.34,85.99,NA,74.12,73.65,NA,73.28,72.81,NA,72.46,72.07,NA,66.23,65.71,NA,83.01,82.67,NA,6.6,6.82,NA,31.17,30.78,NA,23.81,24.18,NA,27.48,26.77,NA,11.92,10.76,NA
