State_Name,State_District_Name,NN_Current_Usage_Any_Method_Total,NN_Current_Usage_Any_Method_Rural,NN_Current_Usage_Any_Method_Urban,NN_Current_Usage_Any_Modern_Method_Total,NN_Current_Usage_Any_Modern_Method_Rural,NN_Current_Usage_Any_Modern_Method_Urban,NN_Current_Usage_Female_Sterilization_Total,NN_Current_Usage_Female_Sterilization_Rural,NN_Current_Usage_Female_Sterilization_Urban,NN_Current_Usage_Male_Sterilization_Total,NN_Current_Usage_Male_Sterilization_Rural,NN_Current_Usage_Male_Sterilization_Urban,NN_Current_Usage_Copper_T_Iud_Total,NN_Current_Usage_Copper_T_Iud_Rural,NN_Current_Usage_Copper_T_Iud_Urban,NN_Current_Usage_Pills_Total,NN_Current_Usage_Pills_Rural,NN_Current_Usage_Pills_Urban,NN_Current_Usage_Condom_Nirodh_Total,NN_Current_Usage_Condom_Nirodh_Rural,NN_Current_Usage_Condom_Nirodh_Urban,NN_Current_Usage_Emergency_Contraceptive_Pills_Total,NN_Current_Usage_Emergency_Contraceptive_Pills_Rural,NN_Current_Usage_Emergency_Contraceptive_Pills_Urban,NN_Current_Usage_Any_Traditional_Method_Total,NN_Current_Usage_Any_Traditional_Method_Rural,NN_Current_Usage_Any_Traditional_Method_Urban,NN_Current_Usage_Periodic_Abstinence_Total,NN_Current_Usage_Periodic_Abstinence_Rural,NN_Current_Usage_Periodic_Abstinence_Urban,NN_Current_Usage_Withdrawal_Total,NN_Current_Usage_Withdrawal_Rural,NN_Current_Usage_Withdrawal_Urban,NN_Current_Usage_Lam_Total,NN_Current_Usage_Lam_Rural,NN_Current_Usage_Lam_Urban
Jharkhand,Hazaribagh,66.8,66.6,67.5,55.6,55.2,57.1,46.1,47.1,42.1,0.3,0.3,0.2,0.6,0.5,1.2,2.5,2,4.5,5.5,4.9,7.9,0.1,0.1,0.2,11.2,11.4,10.4,5.3,5.5,4.2,1.9,1.6,2.9,3.5,3.6,2.8
Jharkhand,Kodarma,51.6,49.5,62.4,43.2,40.5,56.6,38.7,37.4,44.9,0.2,0.2,0.6,0.4,0.2,1.2,1.3,1.1,2.4,2.1,1.4,5.7,0.1,0,0.2,8.4,9,5.8,4.3,4.5,3.5,0.4,0.4,0.5,2.6,2.8,1.4
Jharkhand,Lohardaga,49.9,48,63.7,33.5,31.9,44.7,23.7,23.2,27.2,0.9,0.8,1.2,1.1,0.9,1.8,3.6,3.4,5,3.9,3.2,8.7,0,0,0,16.5,16.1,19,8.7,8.4,10.9,3.9,3.4,6.8,1,1.1,0.9
Jharkhand,Pakaur,45.6,43.8,NA,30.2,29,NA,20.5,19.8,NA,0.7,0.7,NA,0.5,0.5,NA,4.8,4.7,NA,2.3,2.1,NA,0.1,0.1,NA,15.4,14.8,NA,7.7,6.9,NA,3.2,3.2,NA,1.5,1.6,NA
Jharkhand,Palamu,54.1,53.2,67.7,42.8,42,55.3,37.4,37.5,36.5,0.7,0.3,6.9,0.2,0.2,0.5,1.9,1.8,4.5,1.9,1.8,4.5,0.1,0.1,0.6,11.3,11.2,12.4,5.3,5.3,5.1,0.6,0.5,1.6,4.3,4.3,4.8
Jharkhand,Pashchimi Singhbhum,39.4,35.4,56.1,32.3,28,50.2,21.6,18.9,32.8,0.5,0.5,0.5,1.2,0.9,2.2,6.1,5.7,7.7,2.5,1.6,6.5,0.1,0.1,0.1,7.1,7.4,5.9,1.7,1.6,2.2,1.2,1.1,1.7,0.5,0.3,1.6
Jharkhand,Purbi Singhbhum,65.2,61.9,67.6,51,48.2,53,29.9,29.1,30.5,0.2,0,0.3,1.4,0.6,2.1,8.9,12.3,6.5,10.1,6.1,12.9,0.1,0,0.1,14.2,13.7,14.6,9.5,8.5,10.2,2.7,1.4,3.6,0.4,0.4,0.4
Jharkhand,Ranchi,55.8,49.9,64.7,42.4,39.6,46.6,29.1,29.2,28.9,0.8,0.9,0.6,1.6,1.5,1.8,4,3.4,4.9,6.5,4.3,9.7,0.1,0,0.1,13.4,10.3,18.1,6.9,4.4,10.6,3.6,2.7,5,2,1.8,2.3
Jharkhand,Sahibganj,44,42.2,58.7,33.3,31.9,44.6,26.2,25,35.5,0.3,0.3,0.7,0.6,0.6,0.8,3.2,3.1,3.7,2.2,2,3.3,0.1,0.1,0.1,10.7,10.3,14.1,4.4,3.9,8.7,1.3,1.1,3.4,2.5,2.7,1.4
Madhya Pradesh,Balaghat,70.8,69.2,79.1,69.5,67.9,78,49.2,48.6,52.1,13.5,16,0.6,0.2,0.2,0.3,0.5,0.5,0.5,6.1,2.6,24.4,0,0,0,1.2,1.2,1.1,0.7,0.7,0.7,0,0,0,0.5,0.5,0.3
