State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Rajasthan,Tonk,7.5,7.8,7.2,8.4,8.7,8.1,4.4,4.7,4.2,57,61,54,66,69,64,26,34,16,39,45,19,18,21,7,79,80,78,93,94,93,30,37,22
Rajasthan,Udaipur,8.3,9.3,7.2,9.1,10.2,8,5.7,6.6,4.7,63,60,66,67,63,71,44,46,41,41,43,32,21,23,12,91,89,93,101,99,104,51,53,49
Uttar Pradesh,Agra,6.64,6.99,6.23,7.21,7.4,7,6.1,6.61,5.51,51.4,49.39,53.8,54.75,54.63,54.88,47.68,43.85,33.1,34.67,37.55,31.47,16.73,17.2,16.21,69,63,76,79,77,82,59,50,69
Uttar Pradesh,Aligarh,7.51,8.14,6.82,8.48,8.66,8.28,5.51,7.08,3.77,70.04,68.68,71.3,74.05,68.77,78.83,59.67,68.46,88.24,50.72,51.63,48.35,19.33,22.42,11.32,90,84,96,99,89,109,70,76,65
Uttar Pradesh,Allahabad,8.9,9.95,7.87,9.36,10.42,8.35,7.38,8.49,6.21,81.41,79.74,83.18,85.91,83.67,88.31,54.77,55.94,110.34,59.6,62.51,42.4,21.81,23.4,12.37,104,101,107,113,108,117,62,65,58
Uttar Pradesh,Ambedkar Nagar,8.93,10.31,7.7,9.01,10.52,7.7,7.93,7.93,7.9,63.16,62.1,64,64.34,63.1,66,NA,NA,NA,46.8,47.82,NA,16.37,16.53,NA,78,75,80,79,76,82,NA,NA,NA
Uttar Pradesh,Auraiya,8.63,9.3,7.87,9.02,9.7,8.23,6.83,7.41,6.18,58.45,58.98,57.84,62.28,63.48,60.86,36.27,32.76,60.05,40.78,43.17,26.94,17.67,19.11,9.33,84,79,89,90,86,95,48,42,55
Uttar Pradesh,Azamgarh,9.18,10.26,8.21,9.5,10.63,8.48,5.79,6.39,5.21,74.19,74.7,73.63,74.28,74.9,73.6,72.99,72.07,45.98,57.43,58.07,48.66,16.76,16.21,24.33,89,88,90,90,89,90,82,80,85
Uttar Pradesh,Baghpat,9.53,10.27,8.67,9.04,9.74,8.23,11.33,12.16,10.33,52.24,55.55,48.87,54,54.43,53.58,45.29,59.63,41.35,35.08,35.29,34.27,17.15,18.71,11.02,70,73,68,75,74,77,52,70,31
Uttar Pradesh,Bahraich,7.92,7.99,7.85,8.04,8.07,8,6.28,6.77,5.74,66.49,67.82,65.11,67.7,69.02,66.35,38.55,42.92,22.99,44.24,45.52,14.46,22.26,22.18,24.1,105,93,118,108,96,121,53,53,52
Uttar Pradesh,Ballia,8.13,8.49,7.77,8.39,8.67,8.11,6.08,7.15,4.88,68.8,71.5,65.63,68.21,69.81,66.36,75.76,90.43,75.68,52.3,52.11,54.55,16.5,16.1,21.21,82,84,80,83,83,82,80,98,56
Uttar Pradesh,Balrampur,10.43,10.59,10.3,10.47,10.67,10.3,9.55,9.16,9.9,87.11,87.5,87,87.27,87.27,87,NA,NA,NA,59.9,60.88,NA,27.21,26.39,NA,117,112,122,119,113,124,NA,NA,NA
