State_Name,State_District_Name,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Urban
Uttar Pradesh,Kanpur Nagar,366.5,438.9,344.06,467.66,608.95,423.96,248.55,241.43,250.76,294.87,258.47,306.16,375.41,386.03,372.13,200.96,110.33,229.14,542.47,529.46,546.5,674.54,652.68,681.3,388.46,386.36,389.11
Uttar Pradesh,Kaushambi,143.16,152.83,47.07,143.79,153.7,47.53,142.57,152.02,46.62,87.49,84.46,117.67,123.04,111.25,237.64,53.99,59.31,0,2426.31,2473.89,1953.4,2955.99,3025.4,2281.37,1927.07,1956.15,1631.7
Uttar Pradesh,Kheri,136.92,135.17,155.25,180.58,177.7,211.15,87.47,86.89,93.41,169.22,166.32,199.6,218.89,219.62,211.15,112.96,105.82,186.83,901.49,888.06,1042.36,1212.1,1218.87,1140.2,549.71,512.56,934.14
Uttar Pradesh,Kushinagar,33.98,28.02,NA,43.04,29.76,NA,26.04,26.5,NA,124.55,120.32,NA,172.34,166.44,NA,82.65,79.99,NA,2275.88,2275.24,NA,2620.01,2636.04,NA,1974.18,1959.77,NA
Uttar Pradesh,Lalitpur,135.04,134.42,139.18,162.23,160.49,173.84,104.06,104.74,99.5,142.19,125.28,255.16,186.47,162.27,347.67,91.76,83.17,149.25,222.94,214.64,278.36,268.89,257.06,347.67,170.59,166.35,199
Uttar Pradesh,Lucknow,280.48,325.21,248.84,354.88,427.31,303.26,196.18,208.47,187.57,285.95,383.32,217.07,372.16,501.56,279.93,188.28,248.12,146.3,690.31,792.98,617.68,875.58,1052.04,749.83,480.4,496.76,468.92
Uttar Pradesh,Maharajganj,51.03,50.63,NA,56.17,56.31,NA,46.56,45.78,NA,96.57,102.55,NA,120.52,126.82,NA,75.77,81.79,NA,1933.3,2009.6,NA,2462.04,2561.47,NA,1474.29,1537.64,NA
Uttar Pradesh,Mahoba,211.28,232.6,167.23,298.56,323.88,246.47,112.32,129.43,76.76,332.11,365.64,262.8,406.42,446.06,324.89,247.83,274.75,191.89,700.4,620.25,866.03,912.41,784.1,1176.34,459.97,435.07,511.71
Uttar Pradesh,Mainpuri,214.42,210.95,229.83,298.36,289.53,337.91,125.26,127.09,117.29,321.52,326.65,298.78,433.69,460.07,315.39,202.35,184.27,281.49,1170.71,1128.9,1356.01,1535.72,1511.46,1644.51,782.96,720.66,1055.59
Uttar Pradesh,Mathura,253.31,282.02,200.82,305.43,341.96,239.69,193.39,213.95,155.08,554.08,587.85,492.32,707.95,748.38,635.19,377.16,405.54,324.26,3149.69,3324,2830.86,3881.89,4141.02,3415.63,2307.76,2396.19,2142.96
Uttar Pradesh,Mau,94.01,110.83,33.91,120.9,146.8,33.37,68.53,77.56,34.46,222.6,249.32,127.16,322.76,383.72,116.8,127.71,125.02,137.86,2120.09,2265.07,1602.24,2567.81,2779.66,1852.16,1695.88,1789.13,1344.13
Uttar Pradesh,Meerut,257.02,326.66,169.59,360.75,481.16,209.53,140.98,153.76,124.94,581.4,604.01,553.02,716.81,731.45,698.42,429.92,461.39,390.44,3078.96,3052.93,3111.64,3901.94,3939.08,3855.29,2158.34,2061.23,2280.18
Uttar Pradesh,Mirzapur,104.61,107.01,88.44,146.76,152.74,109.17,60.97,60.53,64.1,248.6,219.85,442.22,342.93,301.95,600.44,150.94,136.42,256.41,1573.52,1548.88,1739.39,1803.67,1743.23,2183.41,1335.24,1351.39,1217.95
Uttar Pradesh,Moradabad,167.27,194.29,112.88,232.35,295.44,106.77,95.42,83.49,119.73,262.48,314.37,158.03,362.6,426.75,234.89,151.95,191.26,71.84,929.94,1038.63,711.14,1262.48,1430.05,928.89,562.81,609.84,466.95
Uttar Pradesh,Muzaffarnagar,187.61,212.66,122.89,265.41,300.82,175.37,99.99,114.31,62.3,449.44,455.52,433.71,561.97,570.77,539.59,322.69,326.96,311.48,4547.8,4668.52,4235.94,5870.76,5967.33,5625.25,3057.78,3219.62,2631.99
Uttar Pradesh,Pilibhit,247.9,277.18,100.3,341.12,376.92,159.64,144.43,166.25,35.09,407.38,421.86,334.34,563.83,599.46,383.14,233.71,224.33,280.7,1359.79,1443.82,936.14,1789.39,1909.32,1181.35,882.92,926.09,666.67
Uttar Pradesh,Pratapgarh,67.35,70.49,0,93.29,98.04,0,45.19,47.13,0,99.37,98.12,126.22,144.1,148.23,62.93,61.16,55.63,189.87,2449.71,2466.81,2082.68,2924.9,2958.47,2265.58,2043.78,2050,1898.73
Uttar Pradesh,Rae Bareli,234.65,225.69,336.97,311.26,302.34,408.01,154.98,146.66,255.43,150.43,141.03,257.68,156.83,157.62,148.37,143.76,123.92,383.14,735.67,751.5,555,948.28,984.43,556.38,514.56,511.34,553.43
Uttar Pradesh,Rampur,174.33,195.51,116.26,253.23,289.09,154.19,88.47,93.27,75.44,279.85,283.86,268.86,380.05,390.77,350.43,170.81,167.04,181.05,1793.01,1877.17,1562.27,2426.11,2522.96,2158.68,1104.06,1171.59,920.34
Uttar Pradesh,Saharanpur,144.8,160.58,94.27,197.7,220.24,125.61,86.4,94.76,59.58,238.06,247.64,207.39,312.17,336.84,233.27,156.24,149.23,178.75,1380.74,1435.08,1206.64,1849.08,1894.23,1704.65,863.68,928.58,655.41
Uttar Pradesh,Sant Kabir Nagar,87.6,88.95,NA,109.46,107.38,NA,69.29,73.62,NA,107.29,103.23,NA,166.91,168.9,NA,57.33,48.64,NA,1701.58,1698.27,NA,2142.55,2151.77,NA,1332.09,1321.27,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),110.99,120.72,49.12,136.89,159.9,0,85.74,83.21,102.99,218.41,232.14,131,314.42,335.69,187.85,124.8,133.04,68.66,1292.17,1322.84,1097.1,1534.37,1571.25,1314.97,1056.04,1085.06,858.22
Uttar Pradesh,Shahjahanpur,158.1,151.07,192.55,225.18,223.11,235.5,80.04,66.63,144.3,254.78,242.05,317.14,362.95,341.33,470.99,128.9,125.68,144.3,1215.42,1204.58,1268.55,1564.63,1577.84,1498.61,809.07,767.1,1010.1
Uttar Pradesh,Shrawasti,56.33,57.9,NA,71.83,73.97,NA,41.16,42.22,NA,110.75,111.68,NA,145.12,145.09,NA,77.08,79.08,NA,1520.59,1517.71,NA,1960.15,1957.57,NA,1090.14,1088.61,NA
Uttar Pradesh,Siddharthnagar,76.16,76.87,NA,94.43,93.9,NA,60.95,62.79,NA,153.03,147.28,NA,199.54,186.92,NA,114.32,114.49,NA,2257.84,2265.9,NA,2755.89,2772.78,NA,1843.42,1846.64,NA
Uttar Pradesh,Sitapur,617.95,654.1,302.64,800.92,864.23,245.1,409.71,414.6,367.31,672.06,704.51,389.11,936.29,982.44,531.05,371.36,387.74,229.57,955.05,881.14,1599.65,1320.15,1219.26,2205.88,539.53,495.78,918.27
Uttar Pradesh,Sonbhadra,37.08,39.19,24.94,35.06,41.68,0,39.15,36.7,54.5,126.93,140.35,49.89,167.08,189.93,46,85.65,90.62,54.5,1940.69,1974.61,1746.07,2688.89,2736.25,2437.9,1171.5,1210.66,926.43
Uttar Pradesh,Sultanpur,211.69,207.8,NA,273.49,276.14,NA,150.81,140.74,NA,318.12,327.29,NA,434.51,444.18,NA,203.47,212.61,NA,1138.57,1156.37,NA,1541.34,1566.53,NA,741.81,753.95,NA
Uttar Pradesh,Unnao,276.67,287.87,223.99,338.81,356.92,252.97,207.65,210.96,192.18,308.04,310.75,295.26,392.28,405.24,330.8,214.47,205.53,256.25,1218.73,1183.48,1384.65,1555.23,1464.61,1984.82,844.95,870.41,726.03
Uttar Pradesh,Varanasi,107.73,90.99,126.81,137.38,116.08,160.55,75.57,64.97,88.28,251.33,316.07,177.54,326.57,419.03,225.96,169.73,209.35,122.23,2811.09,3016.07,2577.43,3833.23,4175.5,3460.78,1702.62,1814.36,1568.65
Uttarakhand,Almora,210.78,219.7,97.93,246.04,258.99,97.44,180.82,186.78,98.43,289.71,300.03,159.14,318.29,337.54,97.44,265.43,268.61,221.46,541.75,556.51,355,570.19,575.3,511.57,517.58,540.77,196.85
Uttarakhand,Bageshwar,149.53,144.64,250.86,179.49,169.68,365.41,122.69,122.4,129.28,254.33,249.97,344.94,277.56,269.71,426.31,233.53,232.43,258.56,565.7,568.78,501.72,554.4,557.94,487.21,575.82,578.41,517.13
Uttarakhand,Chamoli,144.27,150.67,107.82,160.28,165.76,131.72,129.12,136.76,81.53,190,204.42,107.82,205.32,225.75,98.79,175.5,184.77,117.76,200.95,208.21,159.58,222.54,235.22,156.42,180.51,183.32,163.06
Uttarakhand,Champawat,292.41,267.03,438.17,388.22,356.86,554.79,199.3,181.76,308.48,314.07,300.94,389.48,424.85,400.38,554.79,206.42,206.54,205.66,1620.88,1775.95,730.28,1779.96,1984.51,693.48,1466.3,1577.99,771.21
Uttarakhand,Dehradun,119.78,148.02,99.97,149,191.03,120.04,88.82,103.43,78.37,145.76,174.17,125.84,198.46,233.98,173.99,89.93,112.18,74.02,1478.42,1618.7,1380.02,1588.77,1764.87,1467.47,1361.5,1467.2,1285.92
Uttarakhand,Haridwar,139.88,146.35,128.58,190.98,209.87,157.41,81.96,73.34,96.7,396.84,347.92,482.18,519.12,466.76,612.16,258.25,211.33,338.46,2253.1,2552.17,1731.26,2297.36,2792.98,1416.7,2202.94,2275.38,2079.1
Uttarakhand,Nainital,278.22,270.6,291.28,327.84,296.28,380.79,224.92,243.43,192.53,313,301.39,332.89,400.91,362.47,465.41,218.55,236.76,186.7,624.98,489.35,857.19,776.14,586.25,1094.77,462.57,386.82,595.1
Uttarakhand,Pauri Garhwal,143.14,152.95,86.04,155.05,163.28,111,132.73,144.12,60.92,136.55,146.09,80.98,158.31,167.15,111,117.53,128.12,50.77,1412.3,1531.4,718.66,1469.82,1603.18,756.81,1362.02,1470.14,680.27
Uttarakhand,Pithoragarh,252.61,262.74,206.52,291.25,298.75,258.49,216.89,229.94,155.25,320.04,359.74,139.54,341.53,386.32,146.1,300.17,335.52,133.07,659.19,734.21,318.15,693.54,770.06,359.63,627.44,701.55,277.22
Uttarakhand,Rudraprayag,297.53,299.18,NA,342.04,344.44,NA,261.2,262.34,NA,296.77,298.42,NA,401.02,403.83,NA,211.71,212.64,NA,367.18,363.89,NA,387.54,381.77,NA,350.56,349.33,NA
Uttarakhand,Tehri Garhwal,147.48,153.6,109.32,165.15,172.03,128.77,133.08,139.23,88.51,409.39,387.39,546.58,488.27,444.91,717.44,345.14,342.55,363.89,1403.44,1423.48,1278.52,1445.63,1470.29,1315.31,1369.07,1386.99,1239.18
Uttarakhand,Udham Singh Nagar,222.84,225.41,216.64,305.29,316.65,278.39,131.51,125.5,146.32,289.69,304.22,254.65,411.29,455.37,306.95,155,138.71,195.09,881.33,882.72,877.96,1176.62,1185.16,1156.4,554.22,551.52,560.88
Uttarakhand,Uttarkashi,129.43,130.37,123.3,150.24,148.24,162.26,108.75,112.97,79.03,657.89,662.35,628.85,781.68,792.15,718.59,534.88,536.02,526.87,67.98,67.06,73.98,77.43,78.74,69.54,58.59,55.69,79.03
