State_Name,State_District_Name,ZZ_Crude_Birth_Rate_Total_Lower_Limit,ZZ_Crude_Birth_Rate_Total_Upper_Limit,ZZ_Crude_Birth_Rate_Rural_Lower_Limit,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,ZZ_Crude_Birth_Rate_Urban_Lower_Limit,ZZ_Crude_Birth_Rate_Urban_Upper_Limit,ZZ_Crude_Death_Rate_Total_Lower_Limit,ZZ_Crude_Death_Rate_Total_Upper_Limit,ZZ_Crude_Death_Rate_Rural_Lower_Limit,ZZ_Crude_Death_Rate_Rural_Upper_Limit,ZZ_Crude_Death_Rate_Urban_Lower_Limit,ZZ_Crude_Death_Rate_Urban_Upper_Limit,ZZ_Infant_Mortality_Rate_Total_Lower_Limit,ZZ_Infant_Mortality_Rate_Total_Upper_Limit,ZZ_Infant_Mortality_Rate_Rural_Lower_Limit,ZZ_Infant_Mortality_Rate_Rural_Upper_Limit,ZZ_Infant_Mortality_Rate_Urban_Lower_Limit,ZZ_Infant_Mortality_Rate_Urban_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Total_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Total_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Upper_Limit
Uttar Pradesh,Firozabad,24.21,26.67,25.74,28.48,18.17,22.8,8.4,9.78,8.58,10.16,6.8,9.72,49,63.91,49.93,66.62,32.44,66.23,71,87,76,93,44,77,794,891,781,887,765,1002
Uttar Pradesh,Gautam Buddha Nagar,22.36,24.53,23.55,25.92,18.26,23.04,5.67,6.68,6.43,7.65,3.3,5.29,51.53,62.99,54.82,68.82,34.81,56.03,63,76,68,83,43,68,821,910,834,936,729,915
Uttar Pradesh,Ghaziabad,20.05,21.89,20.64,23.26,19.03,21.57,6.13,7.19,5.93,7.79,5.89,7.15,39.58,51.54,47.09,63.34,29.65,47.2,53,65,61,77,44,59,860,947,809,925,867,997
Uttar Pradesh,Ghazipur,22.26,24.65,22.65,25.24,16.31,19.65,8.18,9.28,8.21,9.42,7.01,8.53,68.04,86.39,67.47,86.77,NA,NA,85,103,85,103,NA,NA,911,1031,924,1050,585,982
Uttar Pradesh,Gonda,25.89,28.85,26.13,29.18,16.66,27.85,7.62,8.77,7.66,8.87,5.42,8.5,60.3,82.14,62.06,84.95,NA,NA,89,104,92,107,NA,NA,894,991,885,983,897,1483
Uttar Pradesh,Gorakhpur,22.5,25.57,25.77,28.57,15.61,19.06,7.37,8.66,8.28,9.37,5.15,7.39,55.09,68.44,54.45,69.66,46.79,74.82,70,83,71,86,58,85,882,974,896,1000,771,963
Uttar Pradesh,Hamirpur,22.03,24.86,22.96,25.64,16.62,23.29,6.18,7.27,6.21,7.42,5.12,7.59,37.03,52.85,36.96,53.04,19.44,69.81,59,73,60,75,39,81,859,967,857,973,757,1076
Uttar Pradesh,Hardoi,25.95,29.55,26.17,29.89,19.65,32.1,8.7,9.81,8.89,9.99,5.9,10.05,72.51,90.2,73.13,91.87,45.36,100.52,108,128,111,131,69,126,924,1043,929,1055,759,1121
Uttar Pradesh,Hathras,22.58,24.4,23.9,25.71,17.15,21.5,7.89,9.3,7.82,9.4,6.98,10.12,48.88,65.47,47.6,66.05,39.61,77.64,69,86,67,85,62,106,850,964,868,995,693,955
Uttar Pradesh,Jalaun,21.27,23.7,21.77,24.64,18.13,22.32,7.76,9.17,7.99,9.54,6.03,8.99,54.51,75.53,54.43,78.79,38.9,79.66,87,107,86,108,73,119,878,1002,894,1034,734,1001
Uttar Pradesh,Jaunpur,21.12,23.38,21.36,23.58,14.41,25.76,7.66,8.85,7.66,8.92,6.15,9.61,62.43,87.33,64.26,89.99,NA,NA,80,101,80,102,NA,NA,799,926,808,941,546,991
Uttar Pradesh,Jhansi,17.82,20.02,20.57,23.48,14.5,17.26,5.78,7,6.76,7.78,4.57,6.5,34.88,46.79,41.2,58.69,22.24,34.72,52,67,63,83,33,53,800,905,804,941,748,913
Uttar Pradesh,Jyotiba Phule Nagar,24.66,27.38,25.13,28.33,20.75,26.58,6.94,8.9,6.8,9.16,6.07,9.38,55.27,89.37,55.81,98.05,34.64,75.42,81,102,85,109,51,95,800,921,793,927,732,1014
Uttar Pradesh,Kannauj,22.63,24,23.05,24.56,19.87,22.93,8.77,9.54,8.96,9.81,7.34,9.15,73.02,85.76,74.17,87.44,55.09,91.4,96,107,98,111,75,103,890,960,884,960,852,1038
Uttar Pradesh,Kanpur Dehat,18.26,21.11,18.48,21.59,14.25,17.65,7.95,9.7,8.21,10.06,3.72,7.18,53.45,76.14,55.99,80.35,NA,NA,83,104,87,109,NA,NA,890,1027,898,1041,588,1121
Uttar Pradesh,Kanpur Nagar,16.43,17.9,19.45,21.61,15.22,16.99,5.72,6.33,6.63,7.77,5.31,6,31.34,41.79,44.22,65.82,23.6,34.69,45,55,67,88,34,45,849,930,814,954,843,943
Uttar Pradesh,Kaushambi,27.64,30.81,27.92,31.21,20.11,30.8,9.89,11.59,9.99,11.77,6.56,11.75,72.35,91.96,70.75,91.14,NA,NA,104,121,104,121,NA,NA,824,917,825,921,670,1056
Uttar Pradesh,Kheri,25.47,27.91,26.5,28.96,13.27,18.13,7.44,8.71,7.71,9.04,3.38,6.54,67.78,88.97,68.68,90.91,26.4,77.38,107,126,112,131,24,86,871,976,874,982,647,1093
Uttar Pradesh,Kushinagar,27.2,31.32,27.34,31.53,14.44,25.99,8.93,10.34,8.92,10.35,8.34,10.69,70.77,89.71,70.94,90.08,NA,NA,89,108,90,109,NA,NA,888,1010,888,1011,NA,NA
Uttar Pradesh,Lalitpur,25.61,28.12,26.81,29.57,15.48,20.66,6.59,8.86,6.62,9.22,4.98,7.84,56.67,89.19,56.9,92.17,25.08,87.47,102,125,106,130,44,113,862,994,869,1009,633,1053
Uttar Pradesh,Lucknow,17.13,19.26,20.97,24.9,13.61,16.04,5.89,7.02,6.65,8.99,4.94,6.02,37.32,51.23,42.19,65.85,26.11,40.98,52,64,70,89,32,47,828,920,805,929,817,954
Uttar Pradesh,Maharajganj,26.26,29.6,27.13,30.5,13.54,22.47,8.9,10.39,9.19,10.71,4.03,8.33,70.17,85.86,70.32,86.63,NA,NA,88,104,89,105,NA,NA,863,964,864,967,658,1167
Uttar Pradesh,Mahoba,22.99,26.09,22.9,26.16,21.19,27.95,6.62,7.84,6.66,8.13,5.79,7.94,38.69,52.36,39.91,57.64,31.16,46.19,66,81,69,88,49,76,824,926,812,931,792,983
Uttar Pradesh,Mainpuri,22.45,24.51,22.77,25.01,19.42,23.87,9.32,10.79,9.51,11.06,7.21,10.82,41.82,58.71,41.01,55.29,27.59,93.93,70,86,70,87,54,97,994,1122,999,1138,852,1190
Uttar Pradesh,Mathura,21.16,23.59,22.06,25.11,17.97,22.29,6.94,8.08,6.95,8.42,6.26,8.1,37.18,50.88,41.3,56.61,18.58,48.01,51,65,57,75,28,54,807,916,813,938,727,952
Uttar Pradesh,Mau,20.24,22.62,20.46,22.96,17.26,23.53,7.87,9.05,8.06,9.35,6.13,8.96,65.18,81.63,63.75,82.06,56.71,93.97,78,95,77,96,66,107,880,993,854,974,888,1191
Uttar Pradesh,Meerut,21.81,26.07,22.24,28.95,19.96,23.75,5.72,6.82,5.7,7.27,5.26,6.74,43.07,56.15,45.86,60.88,32.3,55.84,52,65,57,73,39,59,827,920,852,968,746,902
Uttar Pradesh,Mirzapur,19.37,25.31,19.42,26.29,15.51,22.24,7.21,9.56,7.08,9.77,7.09,9.23,66.84,92.86,68.18,95.77,NA,NA,93,118,96,124,NA,NA,787,932,802,956,520,965
Uttar Pradesh,Moradabad,23.81,26.52,25.16,28.54,19.7,23.77,7.33,8.82,7.37,9.28,6.36,8.77,53.33,73.73,50.69,75.05,46.74,83.66,72,87,72,90,62,93,1006,1126,1029,1169,879,1110
Uttar Pradesh,Muzaffarnagar,22.01,25.04,22.77,26.51,18.31,22.93,8.08,9.33,8.51,9.94,6.17,8.54,42.87,59.74,47.01,65.51,17.61,54.15,64,77,72,88,29,56,859,955,885,993,709,926
Uttar Pradesh,Pilibhit,24.08,26.9,24.72,28,19,23.15,7.82,9.61,7.64,9.6,6.93,11.53,60.3,86.41,63.56,92.14,23.15,66.56,81,101,85,107,37,85,897,1028,901,1042,740,1103
Uttar Pradesh,Pratapgarh,22.83,25.22,22.98,25.42,14.22,26.48,9.34,10.48,9.4,10.6,6.96,9.05,74.36,92.9,75.9,94.93,NA,NA,96,112,99,115,NA,NA,895,993,894,993,731,1264
Uttar Pradesh,Rae Bareli,20.99,23.32,21.16,23.61,15.61,23.35,7.35,8.38,7.45,8.52,4.81,8.09,45.27,61.2,46.29,63.26,17.73,47.84,72,88,75,92,18,61,838,945,840,952,666,1048
Uttar Pradesh,Rampur,23.9,25.93,25.68,27.82,17.05,22.55,8.48,9.73,8.65,10.14,7.23,9.37,53.03,67.14,58.09,75.17,23.36,47.55,78,94,89,108,30,58,869,970,861,971,815,1070
