State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Chhattisgarh,Mahasamund,49.53,47.64,67.69,37.66,38.3,31.44,11.59,9.12,35.37,50.35,52.27,31.88,51.52,50.44,68.49,65.45,63.67,82.53,8.1,8.2,6.94,37.94,39.79,33.33
Chhattisgarh,Raigarh,42.24,37.32,77.18,33.19,30.84,49.8,8.36,5.84,26.19,57.48,62.39,22.62,46.62,45.68,64.91,65,61.44,90.28,9.86,8.93,13.94,36.55,37.62,34.85
Chhattisgarh,Raipur,34.52,25.98,59.83,21.95,19.54,29.11,12.22,6,30.65,65.38,73.9,40.09,50.68,51.75,44.83,62.84,58.96,74.35,11.11,9.27,14.78,36.09,34.37,37.09
Chhattisgarh,Rajnandgaon,43.51,38.87,72.77,32.62,31.04,42.57,10.8,7.73,30.2,56.38,61.07,26.73,47.95,48.9,34.26,61.82,59.18,78.47,7.85,6.77,12.79,43.6,40.66,48.36
Chhattisgarh,Surguja,31.98,29.21,76.7,25.72,24.09,51.94,6.01,4.85,24.76,67.78,70.54,23.3,24.88,24.96,20.83,42.83,40.45,81.07,7.4,7.14,9.35,26.1,26.91,23.53
Jharkhand,Bokaro,54.8,40,72.1,16.3,11.9,21.5,36.6,25.3,50,44.1,59.3,26.2,25.6,23.5,30.9,63.1,50.6,77.7,15.1,10.9,17.9,30.5,28.2,31.9
Jharkhand,Chatra,35.6,33.5,55.5,14.9,13.4,29.2,20.4,19.8,26.3,64.1,66.2,44.5,19.3,18.4,32.4,43.4,41.4,62.3,6.6,6.2,8.7,27.2,26.9,29
Jharkhand,Deoghar,39,35.1,69.3,23.5,23,27,15.5,12.1,42,60.7,64.6,30.3,30,29.4,41,51.4,48.5,73.4,3.7,4.2,0,27.9,26.4,31.3
Jharkhand,Dhanbad,52,37,65.3,13,9.2,16.2,36.3,27.2,44.3,47.4,62.6,34,33.4,31.4,36.8,64.4,53.2,74.4,11.6,13.3,10.8,28.7,27.8,29.2
Jharkhand,Dumka,28.8,26.3,72,19.2,18.2,37.9,9.1,7.8,34.1,71,73.4,28,26,26,23.5,43.6,41.6,78.6,5.5,5.8,2.9,31,27.5,45.2
Jharkhand,Garhwa,39.2,36,NA,28.5,27,NA,10.5,8.7,NA,60.4,63.7,NA,30.7,29.8,NA,50.6,47.4,NA,4.5,4,NA,25.9,27.8,NA
Jharkhand,Giridih,35.1,33.5,67.2,15.5,15.1,22.4,19.5,18.3,44.3,64.4,66,32.3,27,26.8,37.1,46.8,45.6,70.3,6.6,6.4,9.3,26.9,27.5,22.4
Jharkhand,Godda,31.2,30.3,NA,18.6,18.2,NA,12.5,11.8,NA,68.5,69.5,NA,25.8,25.7,NA,44.8,44,NA,4,4,NA,24.8,24,NA
Jharkhand,Gumla,45.7,43.7,80.5,37.4,36.6,51.4,6.8,5.7,26.8,54.1,56,19.5,21.4,21.3,28.6,51.5,49.7,82.8,4.4,4,9.9,35.7,31.2,52.8
Jharkhand,Hazaribagh,54.2,49.5,76.6,29,28.1,33.3,24.6,21.2,41.4,45.5,50.2,23.2,33.9,33.5,37.1,65.5,62.2,81.5,7.4,7.5,6.9,30.2,30.4,29.8
Jharkhand,Kodarma,54.9,51.4,74.1,25.8,26.7,20.5,27.2,23,50.6,44.7,48.1,25.9,43.9,44.9,33.3,69.8,68,80.4,6.9,6.7,8.7,31.9,33.9,27.1
Jharkhand,Lohardaga,54.7,50.9,87.9,37,37.8,29.4,12.3,9,41.7,44.9,48.6,11.7,22.3,22.4,16.9,59.8,56.5,88.9,4.6,4.4,6.7,30.7,29.9,32.2
Jharkhand,Pakaur,27.7,26.1,NA,21.7,20.8,NA,5.8,5.1,NA,72.2,73.8,NA,22.6,22.5,NA,38.5,37.1,NA,4.8,4.7,NA,33.5,32.7,NA
Jharkhand,Palamu,39.3,37.6,68.6,24.4,23.5,39.4,14.3,13.4,28.8,60.3,62,31.4,28.1,27.9,35.2,52.2,51,74.3,6.6,6.7,5.6,28.2,29.2,20
Jharkhand,Pashchimi Singhbhum,38.5,32.2,78.6,24.4,24.1,26.2,13.5,7.8,50.7,61.3,67.5,21.2,23.5,23.3,27.3,45.6,39.9,81.9,5.9,5,11.4,28.9,21.4,36.4
Jharkhand,Purbi Singhbhum,70,56.1,83.1,32.2,38.9,25.9,35.5,16.1,53.9,29.8,43.8,16.7,31,29.8,34.2,75.8,64.7,86.1,9.7,7.1,13.3,31,19.9,34.2
