State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Uttar Pradesh,Mahoba,69.23,70.98,65.52,61.24,65.63,51.93,7.34,4.8,12.75,26.09,25.98,26.33,50.73,48.81,54.76,82.47,83.66,79.94,11.29,10.92,12.27,25.48,22.49,27.87
Uttar Pradesh,Mainpuri,51.2,49.53,59.32,34.32,34.04,35.68,16.83,15.42,23.64,48.43,50.08,40.45,18.48,17.82,22.47,54.24,52.59,62.27,7.01,5.91,12.1,21.68,21.54,22.12
Uttar Pradesh,Mathura,63.47,56.49,78.25,33.26,32.49,34.91,30.03,24.01,42.78,36.08,42.99,21.46,34.14,29.46,54,72.24,65.35,86.84,5.86,3.02,11.48,25.9,25.46,26.42
Uttar Pradesh,Mau,63.61,63.05,65.61,38.75,42.88,23.93,24.65,19.9,41.68,34.48,34.99,32.65,28.81,28.6,29.61,70.29,69.87,71.79,11.28,8.19,31.13,24.63,22.58,28.14
Uttar Pradesh,Meerut,56.01,56.33,55.53,23.91,26.01,20.83,31.92,30.32,34.24,43.92,43.6,44.39,33.46,30.15,38.23,61.69,61.66,61.74,8.22,7.15,10.18,29.03,26,32.96
Uttar Pradesh,Mirzapur,52.66,51.44,63.95,37.6,37.99,34.01,14.74,13.25,28.57,45.18,46.23,35.37,26.86,25.1,48.08,61.44,60.29,72.11,10.42,10.46,10,30.14,29.95,30.95
Uttar Pradesh,Moradabad,53.14,49.54,62.06,28.5,29.13,26.95,24.63,20.41,35.11,46.62,50.31,37.47,19.1,15.84,29.97,56.81,52.31,67.97,9.45,7.41,14.91,25.06,26.32,23.23
Uttar Pradesh,Muzaffarnagar,56.39,54.85,61.05,27.83,29.41,23.03,28.53,25.41,38.02,43.45,44.97,38.79,23.27,23.32,23.11,60.83,59.39,65.22,10.52,10.11,12.08,22.67,20.82,26.42
Uttar Pradesh,Pilibhit,48.25,44.76,69.86,36.28,35.62,40.41,11.92,9.08,29.45,51.5,54.96,30.14,19.16,17.83,34.09,51.27,47.65,73.63,5.42,4.86,8.47,40.81,42.08,38.37
Uttar Pradesh,Pratapgarh,58.94,58.2,75,47.05,46.97,48.84,11.79,11.13,26.16,39.49,40.19,24.42,35.68,35.54,40.48,70.53,69.94,83.14,9.79,9.8,9.52,31.39,29,53.33
Uttar Pradesh,Rae Bareli,67.77,67.07,78.92,57.08,57.64,48.19,10.39,9.1,30.72,31.6,32.34,19.88,25.07,25.1,24.24,75.69,75.18,83.73,9.82,10.15,3.75,19.91,19.14,23.53
Uttar Pradesh,Rampur,55.23,52.85,63.68,28.6,30.23,22.8,26.63,22.61,40.88,44.47,46.81,36.17,31.97,28.22,49.16,61.35,58.55,71.28,6.97,5.33,14.67,26.83,24.21,31.97
Uttar Pradesh,Saharanpur,62.16,60.34,69.23,39.17,40.89,32.5,23,19.45,36.73,37.63,39.4,30.77,31.65,29.08,44.38,67.4,65.34,75.38,10.77,8.61,21.3,24.32,24.19,24.61
Uttar Pradesh,Sant Kabir Nagar,53.65,53.27,NA,44.07,44.42,NA,9.39,8.68,NA,45.33,45.7,NA,20.67,20.33,NA,60.88,60.41,NA,10.6,10.01,NA,27.45,26.68,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),61.44,62.81,49.42,42.55,44.47,25.68,18.66,18.13,23.35,37.1,35.79,48.64,35.2,32.98,49.6,69.68,70.48,62.65,11.23,11.37,9.09,21.69,21.2,25
Uttar Pradesh,Shahjahanpur,47.08,45.01,60.83,36.95,36.75,38.29,10.13,8.26,22.54,52.63,54.66,39.17,12.13,10.72,25.14,49.71,47.48,64.55,5.96,5.1,11.43,40.85,38.49,46.6
Uttar Pradesh,Shrawasti,33.17,32.99,NA,28.22,28.22,NA,4.94,4.77,NA,64.99,65.26,NA,17.66,17.28,NA,41.73,41.42,NA,10.99,11,NA,22.46,21.97,NA
Uttar Pradesh,Siddharthnagar,29.99,29.52,NA,21.92,21.71,NA,7.95,7.68,NA,68.15,68.62,NA,21.31,21.01,NA,41.1,40.65,NA,14.38,14.66,NA,21.97,21.03,NA
Uttar Pradesh,Sitapur,56.05,57.18,44.17,47.13,48.61,31.67,8.85,8.5,12.5,41.38,40,55.83,33.39,31.68,46.27,69.87,69.86,70,8.87,8.36,17.11,26.63,25.23,36.67
Uttar Pradesh,Sonbhadra,33.65,31.03,63.64,25.28,24.86,30.07,7.74,5.8,30.07,64.54,67.19,34.27,20.38,20.56,16.33,44.51,42.47,67.83,18.82,19.82,9.3,39.68,36.58,46.51
Uttar Pradesh,Sultanpur,64.21,63.8,NA,51.86,51.88,NA,12.11,11.66,NA,34.22,34.6,NA,47.78,46.5,NA,80.56,79.88,NA,6.44,6.18,NA,22.18,20.58,NA
Uttar Pradesh,Unnao,57.91,57.38,61.06,47.5,48.65,40.63,10.31,8.61,20.43,39.6,40.32,35.34,41.59,37.99,65.99,74.38,72.7,84.38,9.56,8.66,15.98,28.03,26.54,31.76
Uttar Pradesh,Varanasi,66.1,65.97,66.27,31.78,36.96,24.85,33.8,28.78,40.51,32.99,32.99,32.98,23.42,20.28,27.63,70.79,70.06,71.76,9.77,6.15,16.97,31.97,28.65,35.13
Uttarakhand,Almora,48.74,46.84,82.95,43.78,42.76,62.12,4.96,4.07,20.83,50.99,52.87,17.05,30.64,29.8,77.78,64.36,62.59,96.21,9,7.56,26.83,43.37,37.63,63.64
Uttarakhand,Bageshwar,44.69,43.78,69.16,41.18,40.72,53.27,3.52,3.05,15.89,54.7,55.59,30.84,22.97,22.19,60.61,57.26,56.11,87.85,7.47,6.97,17.54,44.81,43.22,52.94
Uttarakhand,Chamoli,44.98,40.74,74.62,42.04,38.79,64.73,2.92,1.93,9.78,54.69,58.9,25.27,29.65,28.94,41.3,61.2,57.78,85.05,7.98,7.42,10.36,38.68,40.65,35.96
Uttarakhand,Champawat,69.8,69.19,73.68,58.88,58.76,59.65,10.92,10.42,14.04,29.8,30.35,26.32,24.6,20.67,53.33,77.13,75.46,87.72,2.98,2.98,2.94,41.61,43.36,33.33
Uttarakhand,Dehradun,73.22,67.3,78.56,40.67,42.12,39.36,28.76,21.71,35.14,25.87,31.47,20.81,39.91,39.27,40.78,79.49,75.13,83.43,25.37,21.89,28.75,35.62,33.13,37.01
Uttarakhand,Haridwar,55.26,45.57,76.82,18.38,16.23,23.18,35.76,28.73,51.39,43.53,53.12,22.21,33.58,31.45,44.93,62.42,54.07,81.01,19.99,14.7,28.24,28,25.16,31.52
Uttarakhand,Nainital,65.43,62.32,70.63,45.67,43.5,49.31,19.73,18.78,21.32,34.27,37.37,29.11,58.15,52.38,70.52,85.36,81.89,91.16,15.97,14.27,18.47,55.64,54.11,57.89
Uttarakhand,Pauri Garhwal,58.25,55.72,75.16,45.6,44.3,54.27,12.2,10.9,20.89,40.46,42.96,23.78,25.73,24.15,44.75,65.54,63.1,81.87,15.76,14.56,22.28,31.28,29.6,37.11
Uttarakhand,Pithoragarh,62.57,57.96,89.54,58.37,54.83,79.08,4.04,2.97,10.29,37.02,41.65,9.97,23.03,22.3,40.98,71.1,67.24,93.63,5.81,4.8,9.92,37.87,35.85,41.27
Uttarakhand,Rudraprayag,47.17,46.98,NA,43.23,43.1,NA,3.92,3.87,NA,52.34,52.52,NA,24.27,24.27,NA,59.87,59.73,NA,9.86,9.77,NA,31.25,30.93,NA
Uttarakhand,Tehri Garhwal,47.14,42.52,82.69,35.91,34.64,45.64,9.57,7.17,28.11,51.28,55.78,16.61,20.46,20.04,31.47,54.25,50,86.99,15.53,15.71,14.5,24.39,21.88,29.34
Uttarakhand,Udham Singh Nagar,63.03,59.82,71.01,35.4,35.6,34.91,27.61,24.19,36.11,36.82,40.11,28.64,43.46,39,58.98,79.03,75.47,87.91,7.22,6.1,10.07,32.5,30.91,35.15
Uttarakhand,Uttarkashi,57.13,54.42,80.69,49.87,48.73,59.85,6.26,4.89,18.15,41.03,43.62,18.53,25.64,24.76,43.75,62.45,59.6,87.26,12.53,13.03,9.03,36.31,29.12,53.19
