State_Name,State_District_Name,AA_Sample_Units_Total,AA_Sample_Units_Rural,AA_Sample_Units_Urban,AA_Households_Total,AA_Households_Rural,AA_Households_Urban,AA_Population_Total,AA_Population_Rural,AA_Population_Urban,AA_Ever_Married_Women_Aged_15_49_Years_Total,AA_Ever_Married_Women_Aged_15_49_Years_Rural,AA_Ever_Married_Women_Aged_15_49_Years_Urban,AA_Currently_Married_Women_Aged_15_49_Years_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,AA_Currently_Married_Women_Aged_15_49_Years_Urban,AA_Children_12_23_Months_Total,AA_Children_12_23_Months_Rural,AA_Children_12_23_Months_Urban
Madhya Pradesh,Hoshangabad,95,56,39,18249,10681,7568,83096,49606,33490,16031,9542,6489,15351,9180,6171,2731,1754,977
Madhya Pradesh,Indore,107,23,84,24253,5549,18704,120277,28802,91475,24765,6024,18741,23557,5777,17780,3841,1045,2796
Madhya Pradesh,Jabalpur,99,33,66,17703,6046,11657,77369,25918,51451,14957,5137,9820,14245,4878,9367,2180,690,1490
Madhya Pradesh,Jhabua,43,37,6,8535,7493,1042,47714,42523,5191,9076,8000,1076,8784,7765,1019,1408,1251,157
Madhya Pradesh,Katni,43,30,13,11016,7982,3034,45637,33037,12600,8996,6530,2466,8580,6271,2309,1988,1502,486
Madhya Pradesh,Mandla,59,50,9,10498,8831,1667,45198,37939,7259,9418,7963,1455,8789,7444,1345,2058,1780,278
Madhya Pradesh,Mandsaur,65,48,17,14234,11066,3168,67375,51708,15667,14537,11239,3298,13806,10710,3096,1990,1487,503
Madhya Pradesh,Morena,43,30,13,10107,7587,2520,49936,36842,13094,9662,7119,2543,9361,6901,2460,1995,1568,427
Madhya Pradesh,Narsimhapur,48,37,11,10241,8621,1620,44098,36804,7294,8866,7419,1447,8492,7121,1371,1727,1485,242
Madhya Pradesh,Neemuch,61,38,23,13151,8735,4416,59774,38271,21503,12826,8432,4394,12182,8004,4178,2525,1593,932
Madhya Pradesh,Panna,35,28,7,6539,5333,1206,28645,23106,5539,5264,4242,1022,5105,4125,980,1141,965,176
Madhya Pradesh,Raisen,39,29,10,5765,4014,1751,27882,19755,8127,5071,3551,1520,4908,3451,1457,1102,834,268
Madhya Pradesh,Rajgarh,47,35,12,8455,6918,1537,37074,29816,7258,7866,6363,1503,7564,6131,1433,1684,1412,272
Madhya Pradesh,Ratlam,49,29,20,9741,5157,4584,45513,23036,22477,9620.44,5058.45,4562,9074.41,4798.43,4276,2414,1398,1016
Madhya Pradesh,Rewa,42,32,10,8438,6897,1541,33914,27490,6424,6336,5127,1209,6121,4968,1153,1520,1335,185
Madhya Pradesh,Sagar,47,29,18,9413,6091,3322,41729,26575,15154,8003,5122,2881,7608,4902,2706,1859,1334,525
Madhya Pradesh,Satna,60,43,17,15377,11330,4047,64536,47229,17307,12397,9023,3374,12019,8762,3257,2610,1970,640
Madhya Pradesh,Sehore,32,24,8,5273,4146,1127,28299,22458,5841,5389,4259,1130,5155,4086,1069,1360,1076,284
Madhya Pradesh,Seoni,43,36,7,8142,7162,980,35588,31112,4476,7085,6209,876,6714,5886,828,1444,1290,154
Madhya Pradesh,Shahdol,43,28,15,7779,5688,2091,31323,22245,9078,6367,4605,1762,6141,4446,1695,1111,855,256
Madhya Pradesh,Shajapur,58,43,15,11788,9328,2460,54970,42527,12443,11151,8687,2464,10728,8392,2336,2177,1637,540
Madhya Pradesh,Sheopur,42,32,10,10921,8996,1925,47462,38352,9110,9249,7562,1687,8985,7364,1621,1844,1565,279
Madhya Pradesh,Shivpuri,41,31,10,8780,7310,1470,42071,34718,7353,7946,6569,1377,7710,6389,1321,2125,1799,326
Madhya Pradesh,Sidhi,35,28,7,8022,6820,1202,36351,30953,5398,6748,5720,1028,6615,5598,1017,1410,1223,187
Madhya Pradesh,Tikamgarh,48,36,12,11647,9588,2059,51857,42382,9475,10029,8178,1851,9843,8048,1795,2111,1797,314
Madhya Pradesh,Ujjain,45,23,22,7688,4431,3257,37391,21794,15597,7788,4688,3100,7413,4473,2940,1670,972,698
Madhya Pradesh,Umaria,59,45,14,14813,11663,3150,60120,46981,13139,11992,9408,2584,11462,9019,2443,2548,2132,416
Madhya Pradesh,Vidisha,43,30,13,7945,4972,2973,37436,24232,13204,6785,4295,2490,6537,4161,2376,1850,1229,621
Madhya Pradesh,West Nimar,100,78,22,22342,18756,3586,104827,88010,16817,21419,18008,3411,20461,17271,3190,4040,3445,595
Odisha,Anugul,83,66,17,17406,14572,2834,74172,61797,12375,15845,13143,2702,14942,12404,2538,2448,2037,411
Odisha,Balangir,60,50,10,11768,10710,1058,47955,43245,4710,9490,8543,947,8939,8043,896,1844,1675,169
Odisha,Baleshwar,79,66,13,15412,13725,1687,65223,57924,7299,13856,12307,1549,13162,11684,1478,2386,2157,229
Odisha,Bargarh,84,74,10,20176,18658,1518,83506,76666,6840,16848,15447,1401,15762,14467,1295,2675,2478,197
Odisha,Baudh,46,42,4,5802,5282,520,24171,21914,2257,4590,4191,399,4337,3957,380,739,681,58
Odisha,Bhadrak,94,79,15,19043,17374,1669,90758,81931,8827,18062,16404,1658,17247,15704,1543,3345,3008,337
Odisha,Cuttack,114,72,42,22317,17364,4953,95013,73087,21926,18720,14407,4313,17826,13713,4113,2322,1838,484
Odisha,Debagarh,52,46,6,7942,6855,1087,30681,26277,4404,6397,5505,892,5983,5176,807,1095,974,121
Odisha,Dhenkanal,57,49,8,14092,13049,1043,59809,55111,4698,12340,11406,934,11682,10791,891,2475,2316,159
Odisha,Gajapati,65,55,10,10553,9095,1458,39319,34015,5304,7750,6643,1107,7029,6046,983,821,722,99
