State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Madhya Pradesh,Morena,2.9,2.1,4.9,73.7,79.9,66.7,66.9,69.8,63.6,3.6,3.7,3.5,79.1,95.6,60.6,74.6,87.1,60.6
Madhya Pradesh,Narsimhapur,1.5,1.4,2.3,44.2,38.9,62.5,6.4,4.6,12.5,3.4,3.2,3.9,36.2,32.1,50,32.6,27.5,50
Madhya Pradesh,Neemuch,5,4.3,6.3,56.3,62.1,49.4,30.8,32.3,28.9,3.4,3.4,3.5,65.9,68.6,62.7,65.1,67.1,62.7
Madhya Pradesh,Panna,1.2,1.3,0.4,15.6,16.2,0,0,0,0,3.3,3.4,3,28.5,29.6,0,22.4,23.3,0
Madhya Pradesh,Raisen,1.2,1.1,1.5,34.9,33.3,40,27.3,29.6,20,3.8,4.1,2.8,72.6,76.5,60,52.7,63,20
Madhya Pradesh,Rajgarh,1.9,1.8,2.9,49.9,46.5,63.6,21.5,22.3,18.2,3.5,3.5,3.4,42.1,41.2,45.5,39.3,37.8,45.5
Madhya Pradesh,Ratlam,2.3,1.9,2.8,51.2,36.2,67.6,36.2,19.7,54.1,3.3,3.1,3.6,55.9,47.7,64.9,52.9,44.4,62.2
Madhya Pradesh,Rewa,3.6,3.4,5,42,38.6,57.1,0.9,1.2,0,3.1,3,3.4,35.7,34.1,42.9,33.5,33,35.7
Madhya Pradesh,Sagar,4,4.1,3.7,37.7,25.6,76.9,8.5,7.5,11.5,3.2,3.3,3,39,31.9,61.5,42.4,32.9,73.1
Madhya Pradesh,Satna,2,2.2,1.7,31.8,30.1,38.5,4.4,3.6,7.7,3.1,3.1,2.9,26.6,21.7,46.2,29.2,28.9,30.8
Madhya Pradesh,Sehore,4.6,3.5,8.8,62.7,72.4,48.8,32.4,32.9,31.7,3.2,3.4,2.9,68.1,79.9,51.2,63.8,72.5,51.2
Madhya Pradesh,Seoni,2,1.8,3.9,62.7,55.2,100,11.2,11,12.5,3.6,3.6,3.6,33,29.6,50,31.9,33.2,25
Madhya Pradesh,Shahdol,2,1.6,3,26.2,20.7,36.4,6.5,0,18.2,3.4,3.7,2.8,39,40.4,36.4,41.1,43.8,36.4
Madhya Pradesh,Shajapur,4,4.5,2.8,54.6,57.1,43.5,34.9,38.9,17.4,3.4,3.4,3.1,54.8,58.3,39.1,56.9,61.8,34.8
Madhya Pradesh,Sheopur,3.1,2.3,7.9,67.3,64,73,16.2,14.6,18.9,2.3,2.3,2.2,91.5,94.4,86.5,92.6,97.8,83.8
