State_Name,State_District_Name,BB_Average_Household_Size_Sc_Total,BB_Average_Household_Size_Sc_Rural,BB_Average_Household_Size_Sc_Urban,BB_Average_Household_Size_St_Total,BB_Average_Household_Size_St_Rural,BB_Average_Household_Size_St_Urban,BB_Average_Household_Size_All_Total,BB_Average_Household_Size_All_Rural,BB_Average_Household_Size_All_Urban,BB_Population_Below_Age_15_Years_Total,BB_Population_Below_Age_15_Years_Rural,BB_Population_Below_Age_15_Years_Urban,BB_Dependency_Ratio_Total,BB_Dependency_Ratio_Rural,BB_Dependency_Ratio_Urban,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Total,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Urban
Uttar Pradesh,Rampur,5.41,5.34,6.13,5.28,5.64,3.6,5.8,5.81,5.78,35.76,37.85,29.96,70.99,76.43,57.47,65.52,73.07,43.42
Uttar Pradesh,Saharanpur,5.43,5.44,5.34,5.51,5.87,5,5.71,5.72,5.65,34.16,35.87,28.64,68.46,73.06,55.16,37.57,42.67,20.61
Uttar Pradesh,Sant Kabir Nagar,5.07,5.06,5.36,3.74,3.71,4,5.43,5.42,5.56,39.62,40.05,33.05,95.47,97.5,68.78,54.4,55.95,29.94
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),5.44,5.44,5.22,5.23,5.04,8.8,6.21,6.17,6.51,36.19,36.76,32.42,78.7,81.46,62.42,51.13,53.31,34.2
Uttar Pradesh,Shahjahanpur,5.44,5.43,5.49,6.25,6.02,7.7,5.63,5.64,5.57,37.95,39.29,31.32,82.15,86.91,61.76,54.5,59.8,28.95
Uttar Pradesh,Shrawasti,4.55,4.55,3.71,5.57,5.75,4.14,5.09,5.09,5.13,41.38,41.51,36.88,97.23,97.86,76.96,75.16,75.9,45.83
Uttar Pradesh,Siddharthnagar,5.32,5.32,5.32,6.54,6.26,7.53,5.63,5.61,6.17,42.03,42.42,32.19,105.65,107.57,66.8,64.13,65.39,24.92
Uttar Pradesh,Sitapur,5.05,5.05,5.08,4.94,4.77,9,5.38,5.32,5.95,37.82,37.92,37.02,83.91,84.98,75.04,62.01,63.88,43.76
Uttar Pradesh,Sonbhadra,4.85,4.81,5.25,5.11,5.12,4.52,4.92,4.99,4.56,38.67,40.56,28.22,85.53,94.86,46.58,56.71,63.37,17.54
Uttar Pradesh,Sultanpur,5.08,5.07,5.71,5.42,5.49,3.75,5.5,5.49,5.65,33.63,34.08,26.72,76.09,77.99,51.21,48.2,50.45,11.38
Uttar Pradesh,Unnao,4.7,4.72,4.54,4.36,4.36,4.4,4.92,4.93,4.87,30.75,31.35,27.89,68.25,71.33,54.85,47.72,52.25,26.57
Uttar Pradesh,Varanasi,5.63,5.81,5.33,5.4,5.91,4.62,5.68,6.23,5.15,31.27,33.53,28.62,64.82,72.98,56.19,34.37,43.57,22.55
Uttarakhand,Almora,4.87,4.89,4.42,4.18,4.28,3.9,4.41,4.45,3.98,28.33,28.77,22.7,73.55,75.72,49.61,13.49,14.35,2.41
Uttarakhand,Bageshwar,4.62,4.61,4.8,3.76,3.7,4.11,4.24,4.23,4.3,29.47,29.64,25.93,72.01,73.1,51.74,15.73,16.27,3.71
Uttarakhand,Chamoli,4.7,4.73,4.46,3.9,3.84,4.04,4.34,4.43,3.87,30.29,30.47,29.26,66.47,68.31,56.66,13.51,15.3,3.32
Uttarakhand,Champawat,4.83,4.81,4.98,3.25,2.22,4.57,4.63,4.62,4.69,32.53,32.66,31.78,72.21,73.82,63.56,21.43,20.94,24.44
Uttarakhand,Dehradun,4.86,4.98,4.8,5.69,5.98,4.55,4.54,4.82,4.36,25.28,27.82,23.5,54.03,58.59,50.98,19.85,26.3,15.2
Uttarakhand,Haridwar,4.59,5.14,3.75,4.74,5.4,3.43,4.63,5.43,3.76,31.51,36.34,23.97,65.37,76.43,50.62,41.19,56.12,24.19
Uttarakhand,Nainital,5.03,5.1,4.79,5.05,4.47,5.48,4.75,4.75,4.75,27.26,27.22,27.32,55.5,57.06,52.89,11.8,12,11.45
Uttarakhand,Pauri Garhwal,4.75,4.73,4.87,4.52,4.56,4.23,4.23,4.21,4.34,28.98,29.43,26.64,68.18,71.5,52.53,18.59,20.24,9.72
Uttarakhand,Pithoragarh,4.53,4.56,4.31,3.59,3.47,3.79,4.07,4.12,3.83,29.94,29.82,30.51,69.07,71.02,60.69,13.27,15.47,3.53
Uttarakhand,Rudraprayag,4.67,4.67,4.53,4.07,4.11,3,4.2,4.2,3.74,31,31.03,26.35,73.57,73.76,45.4,15.04,15.08,7.69
Uttarakhand,Tehri Garhwal,4.82,4.82,4.74,4.37,4.45,4.28,4.3,4.3,4.35,33.02,33.42,30.64,77.8,81.51,58.46,36.66,40.37,15.89
Uttarakhand,Udham Singh Nagar,5.09,5.12,5.03,5.36,5.37,5.28,5.12,5.21,4.9,30.48,31.31,28.47,59.59,62.6,52.82,35.36,40.66,22.98
Uttarakhand,Uttarkashi,4.46,4.5,4.1,3.95,3.94,4.27,4.28,4.35,3.83,31.56,31.98,28.78,67.22,69.27,54.83,36.03,39.63,13.57
