State,LandCategory,Region,Region or State,Year,Acre Value
Northern Plains,Farm Real Estate,Northern Plains,Region,2002,576
Kansas,Farm Real Estate,Northern Plains,State,2002,665
Nebraska,Farm Real Estate,Northern Plains,State,2002,760
North Dakota,Farm Real Estate,Northern Plains,State,2002,415
South Dakota,Farm Real Estate,Northern Plains,State,2002,430
Appalachian,Farm Real Estate,Appalachian,Region,2002,2250
Kentucky,Farm Real Estate,Appalachian,State,2002,1830
North Carolina,Farm Real Estate,Appalachian,State,2002,2900
Tennessee,Farm Real Estate,Appalachian,State,2002,2300
Virginia,Farm Real Estate,Appalachian,State,2002,2530
West Virginia,Farm Real Estate,Appalachian,State,2002,1330
Southeast,Farm Real Estate,Southeast,Region,2002,2140
Alabama,Farm Real Estate,Southeast,State,2002,1700
Florida,Farm Real Estate,Southeast,State,2002,2720
Georgia,Farm Real Estate,Southeast,State,2002,2050
South Carolina,Farm Real Estate,Southeast,State,2002,1900
Delta,Farm Real Estate,Delta States,Region,2002,1390
Arkansas,Farm Real Estate,Delta States,State,2002,1410
Louisiana,Farm Real Estate,Delta States,State,2002,1440
Mississippi,Farm Real Estate,Delta States,State,2002,1330
Southern Plains,Farm Real Estate,Southern Plains,Region,2002,755
Oklahoma,Farm Real Estate,Southern Plains,State,2002,680
Texas,Farm Real Estate,Southern Plains,State,2002,775
Mountain,Farm Real Estate,Mountain,Region,2002,500
Arizona,Farm Real Estate,Mountain,State,2002,1400
Colorado,Farm Real Estate,Mountain,State,2002,700
Idaho,Farm Real Estate,Mountain,State,2002,1240
Montana,Farm Real Estate,Mountain,State,2002,370
Nevada,Farm Real Estate,Mountain,State,2002,465
New Mexico,Farm Real Estate,Mountain,State,2002,250
Utah,Farm Real Estate,Mountain,State,2002,1040
Wyoming,Farm Real Estate,Mountain,State,2002,285
Pacific,Farm Real Estate,Pacific,Region,2002,2240
California,Farm Real Estate,Pacific,State,2002,3400
Oregon,Farm Real Estate,Pacific,State,2002,1150
Washington,Farm Real Estate,Pacific,State,2002,1390
United States,Farm Real Estate,Continental U.S.,Region,2002,1210
Northeast,Farm Real Estate,Northeast,Region,2003,3200
Connecticut,Farm Real Estate,Northeast,State,2003,9500
Delaware,Farm Real Estate,Northeast,State,2003,4000
